text,pred,label,msp,ood_score,cluster,x,y,z
Lassaba is a genus of moth in the family Geometridae.,1,9,0.5039182243608185,0.8127881161157595,1,-0.11869324,0.05817974,-0.08810112
Deceptions is the first of the Special Edition copies in the Jedi Apprentice series which revolves around the story of young Obi-Wan Kenobi and Qui-Gon Jinn as Jedi prior to Star Wars Episode I: The Phantom Menace.,0,13,0.9802541987307424,0.0321164467379091,10,-1.4015903,-0.06918942,0.13958038
Tsugaru (\u6d25\u8efd) was an protected cruiser of the Imperial Japanese Navy acquired as a prize of war during the Russo-Japanese War from the Imperial Russian Navy where it was originally known as the Pallada. The cruisers Aurora and Diana were its sister ships.,0,5,0.9988968339714014,0.0015628502051704,0,-0.022070762,-0.13398147,0.110280976
Elshan Mahmud oglu Hajizadeh (Azerbaijani: El\u015f\u0259n Mahmud o\u011flu Hac\u0131zad\u0259) (born August 9 1961) is an Azerbaijanian professor of economics. He was born in 1961 in the city of Siy\u0259z\u0259n of the Azerbaijan Republic.,2,4,0.9840863853830629,0.0258358386960917,6,0.7907095,0.42720664,-0.09391793
Kenton School is an Academy situated in Newcastle upon Tyne in Tyne and Wear England.It is situated near Kenton Lane in Kenton and is one of the largest academies in the United Kingdom educating around 2000 pupils across Key Stage 3 to 5.Kenton School is a specialist Arts and Technology School and has been granted several marks of achievement including a Gold Artsmark from the Arts Council of England and a 2008 Sportsmark.The sixth form building is used by both sixth formers and pupils attending the main academy as well as working as a local community college (Kenton College).,1,1,0.9999021145033828,-8.47138532301e-05,2,0.04843624,0.10944015,-0.15719278
The Murakumo class destroyers (\u53e2\u96f2\u578b\u99c6\u9010\u8266 Murakumogata kuchikukan) were a class of six torpedo boat destroyers (TBDs) of the Imperial Japanese Navy. The class is also sometimes referred to as the Shinonome class destroyers (\u6771\u96f2\u99c6\u9010\u8266 Shinonomegata kuchikukan).,0,5,0.9978325481772936,0.0033071185625631,7,-0.10743401,-0.04802272,0.07894522
HMS Derwent was a Hunt class Type III destroyer escort of the Royal Navy. She was built by Vickers-Armstrongs Barrow-in-Furness and served during the Second World War.,0,5,0.9992048140597182,0.0010580986377511,7,-0.015827343,-0.06907307,0.11976746
The Scarlet Brotherhood is a regional sourcebook for the Greyhawk campaign setting for the Dungeons & Dragons fantasy role-playing game.,0,13,0.9995186661057128,0.0005437234616826,10,-0.6231556,-0.07088189,0.0739365
Los Helechos is a village and municipality in Misiones Province in northeastern Argentina.,1,8,0.9982087125672152,0.0026906190789179997,2,-0.035551872,0.53270733,0.20277597
The Hatsuharu-class destroyers (\u521d\u6625\u578b\u99c6\u9010\u8266 Hatsuharugata kuchikukan) were a class of Imperial Japanese Navy destroyers in the service before and during World War II. The final two vessels in the series completed after modifications to the design are sometimes considered a separate Ariake class.,0,5,0.9985527779973941,0.0021267268931386,0,0.26416275,-0.033147976,0.060396858
Pseudatemelia aeneella is a moth of the Oecophoridae family. It was described by Rebel in 1910. It is found in Croatia and Bosnia and Herzegovina.The wingspan is 10-11.5 mm.,2,9,0.3898382725358333,0.9997548606526572,13,0.07769982,0.10949521,-0.0870936
Timopheev's Wheat (Triticum timopheevii also called Zanduri Wheat) is a tetraploid wheat that has both cultivated and wild forms. The domesticated form is restricted to western Georgia while the wild form (formerly categorized as T. araticum Jakubz.) can be found across south-eastern Turkey north Iraq west Iran and Transcaucasia.Timopheev's wheat is believed to have evolved in isolation from the more common Triticum turgidum and hybrids between T. timopheevii and T.,0,10,0.9921075427252066,0.0126898857772163,13,-0.8140959,-0.017626742,0.13101222
3 Deewarein (3 Walls) is a 2003 Hindi film written directed and co-starred by Nagesh Kukunoor. Juhi Chawla Jackie Shroff Naseeruddin Shah and Gulshan Grover form the rest of the cast. The film narrates the story of three prisoners and a documentary filmmaker who while filming their reformation story in the prison finds redemption with her own troubled marriage.The film was show cased among the Indian panorama section at the 2003 International Film Festival of India.,2,12,0.9993709188176628,0.0007858679315825,1,-0.09912794,0.2379258,-0.23131064
The Kal\u0101m Cosmological Argument (KCA) is a book written by William Lane Craig. It comprises a contemporary defense of the Kal\u0101m cosmological argument. The book purports to establish the existence of God based upon the alleged metaphysical impossibility of an infinite regress of past events. According to the KCA given that an infinite temporal regress is metaphysically impossible and that everything that begins to exist has a cause of its existence.,2,13,0.9992457611316542,0.0009909900826043,1,-0.8016407,0.20068063,-0.12623397
Siddam (Persian: \u0635\u064a\u062f\u0645\u200e also Romanized as \u015e\u012bddam) is a village in Ramkan Rural District in the Central District of Qeshm County Hormozgan Province Iran. At the 2006 census its existence was noted but its population was not reported.,1,8,0.9992433098339458,0.0009950075383018,0,-0.0043687164,0.04883625,0.17192234
Number (\u756a\u72d7\u2015\u30ca\u30f3\u30d0\u30fc\u2015) is a Japanese manga series by Kawori Tsubaki. Originally starting serialization in the sh\u014djo magazine Comic Blade Avarus published by Mag Garden in December 2007.,2,13,0.5492273744248415,0.7385305086248276,11,0.10503259,-0.31119236,0.27226192
Paul Derek Zetland Thompson (born 17 April 1973) is a retired English footballer who played as a striker.Thompson started his career with Redheugh Boys Club before signing for Hartlepool United in 1991. Thompson moved to non-league Gateshead in 1995 where he became the club's record goalscorer scoring 130 goals in 439 total appearances during four stints at the club.,3,3,0.9996600059324562,0.0003120802425467,3,0.09939601,-0.1956721,-0.089595854
The Leonard W. Stanley House is a historic house at 23\u201325 Taylor Street in Waltham Massachusetts. The 2-1/2 story wood frame house was built in 1855-56 by Leonard Stanley a policeman. It is one of the oldest houses on the South Side of Waltham which the city purchased from Newton in 1849 and is an unusual local example of transitional Federal/Italianate styling. Its basic massing is somewhat typically Federalist with a five bay facade and side gable roof.,2,6,0.4495227087292178,0.9019374566646474,10,-0.18248095,-0.11265016,0.53922194
The Journal of Family Theory & Review is a quarterly peer-reviewed academic journal published by Wiley-Blackwell on behalf of the National Council on Family Relations. It was established in 2009 and its current editor-in-chief is Robert M. Milardo (University of Maine). The journal focuses on family theory and integrative reviews in the fields of family studies sociology developmental psychology social psychology communications gerontology gender studies and health.,0,13,0.8983046379721722,0.1664243803068544,10,-0.38758016,-0.11495612,0.27175418
Christopher Kelly (born November 11 1980) is a Canadian professional ice hockey forward for the Boston Bruins of the National Hockey League (NHL). Previously Kelly spent several seasons in the Ottawa Senators organization. He is an alternate captain for the Bruins during away games and was a member of Boston's 2011 Stanley Cup winning team.,3,3,0.9996794118991948,0.0002802756145846,3,0.37436554,-0.42949724,-0.29109463
Crawford Lake is a lake near the community of Campbellville in the town of Milton Regional Municipality of Halton Ontario Canada.,1,7,0.9909616363310759,0.014567922931223,0,0.0011559927,0.2326146,-0.23902616
Skoganvarre Chapel (Norwegian: Skoganvarre kapell) is a chapel in Porsanger Municipality in Finnmark county Norway. It is located in the village of Skoganvarre. The chapel is part of the Porsanger parish in the Indre Finnmark deanery in the Diocese of Nord-H\u00e5logaland. The wooden chapel was built in 1963 and it seats about 90 people.,1,6,0.9963894323350576,0.0056722551768073,2,0.08503423,0.1283924,-0.11592153
Swory [\u02c8sf\u0254r\u0268] is a village in the administrative district of Gmina Bia\u0142a Podlaska within Bia\u0142a Podlaska County Lublin Voivodeship in eastern Poland. It lies approximately 14 kilometres (9 mi) north-west of Bia\u0142a Podlaska and 97 km (60 mi) north of the regional capital Lublin.,1,8,0.9995837605776744,0.0004370394973637,2,-0.0048710816,-0.1179324,0.14392349
Orna Villa also known as the Alexander Means House and the Means/Tanner House is a historic Greek Revival house located on Emory Street in Oxford Georgia. Built in 1825 it is the oldest house in Oxford. The house is a work of Richard K. Dearing. The home was owned for a time by Alexander Means a founder and president of Emory College (the original site of which is now Oxford College of Emory University) and was used as a hospital during the American Civil War.,1,6,0.7971760832944653,0.3321649538724849,2,-0.2507929,-0.10616045,0.2192785
Cifesa is the acronym for Compania Industrial Film Espanola a noted Spanish film studio. They have released such films as Don Quijote de la Mancha (1947) and the 1954 film version of El alcalde de Zalamea as well as being responsible for the Spanish release of some Hollywood films. Notable stars include Flori\u00e1n Rey Benito Perojo Imperio Argentina and Miguel Ligero.,0,0,0.9991175326140938,0.0012011450493758,11,-0.12994777,-0.79411626,0.24937151
The Red House is an American 1947 psychological thriller starring Edward G. Robinson. It is adapted from the novel The Red House by George Agnew Chamberlain published in 1943 by Popular Library.,2,12,0.9992010676715324,0.0010642386298502,8,0.049709663,0.2149378,-0.41068596
The College of Veterinary Medicine (CVM) is one of the 11 degree-granting units of the University of the Philippines at Los Ba\u00f1os.,1,1,0.9998992047520316,-7.99450333904e-05,12,0.28224126,0.20813629,-0.1807016
The first USS Kleinsmith (DE-376) would have been a John C.,2,5,0.9684438448526052,0.0514725507780971,8,0.15631759,0.0499406,-0.04917186
Rhinotyphlops is a genus of blind snakes found in Africa the Middle East and India. Currently 28 species are recognized.,0,9,0.9436791876765609,0.0920595887081326,13,0.059706096,0.077781856,0.011682883
Hopea centipeda is a species of plant in the Dipterocarpaceae family. It is found in Brunei and Malaysia.,0,10,0.9528315076100088,0.077059762397353,13,-0.4182225,0.13603662,0.084647916
Tiferes Bais Yaakov is a private Orthodox Jewish School in Toronto Ontario. As of 2010 it provides classes to approximately 160 students from grade 9 up to grade 12. In addition to the regular Ontario provincial curriculum the school teaches the Hebrew language the Torah and various other Jewish related topics. The school is affiliated with Mercaz (formerly known as the Board of Jewish Education) the educational pillar of the UJA Federation of Greater Toronto.,1,1,0.9999041059687941,-8.79776852952e-05,2,-0.021000708,0.07502692,-0.053182427
The Deep Blue Good-by is the first of 21 novels in the Travis McGee series by American author John D. MacDonald. Commissioned in 1964 by Fawcett Publications editor Knox Burger the book establishes for the series an investigative protagonist in a residential Florida base\u2014as well as a cyclical form: All McGee novel titles have a color in them. (MacDonald also included color in a further two unrelated novels: (A Flash of Green and The Girl the Gold Watch & Everything).,2,13,0.9957291124485504,0.0067544598723582,1,-1.5192518,0.301563,-0.33958104
Mosaics is an album by Mark Heard released in 1985 on Home Sweet Home Records. According to the liner notes in Ashes and Light this album was recorded first but delayed by the record company who wanted the less rock-oriented Ashes released first. Consequently this was the first album recorded in Heard's own Fingerprint Recording Studio.,2,11,0.9988224461888009,0.0016847650668408,10,-0.2040438,-0.2842547,0.24357805
Alan Michael Sugar Baron Sugar (born 24 March 1947) is an English business magnate media personality and political advisor. From East End of London Sugar now has an estimated fortune of \u00a3770m (US$1.14 billion) and was ranked 89th in the Sunday Times Rich List 2011. In 2007 he sold his remaining interest in the consumer electronics company Amstrad his largest and best-known business venture.Sugar was chairman of Tottenham Hotspur from 1991 to 2001.,2,4,0.9894522059150921,0.0170417431464916,0,0.12776172,0.12908763,-0.014798526
Omoedus is a spider genus of the Salticidae family (jumping spiders).,0,9,0.9212361541269372,0.1288416950570463,13,-0.4289562,-0.13452238,0.04837678
Red Table Mountain elevation 12043 ft (3671 m) is a summit in the Sawatch Range of central Colorado. The peak is south of Eagle in the White River National Forest.,1,7,0.9450675660550474,0.0897841618565396,0,-0.0033511887,0.4312045,0.01486983
Morris High School was a high school in the borough of the Bronx in New York City. It was built in 1897. It was the first high school built in the Bronx. Originally named Peter Cooper High School the name was changed to Morris High School to commemorate a famous Bronx landowner Gouverneur Morris one of the signers of the United States Constitution and credited as author of its Preamble.,1,1,0.9999021872809446,-8.48331290849e-05,12,0.79458153,0.25566506,-0.2129156
Dominique Chauvelot (born 12 June 1952) is a French former athlete who competed in the 1972 Summer Olympics and in the 1976 Summer Olympics.,3,3,0.9996840047182092,0.0002727483987538,13,0.04060591,0.4936589,-0.058907103
Torresol Energy is a company dedicated to developing renewable and alternative energies focusing on concentrated solar energy. Its goal is the technological development construction operation and maintenance of concentrated solar power plants.,0,0,0.9996958936586792,0.0002532634983826,4,0.14738901,-0.65824366,0.5016952
Ponyo (\u5d16\u306e\u4e0a\u306e\u30dd\u30cb\u30e7 Gake no Ue no Ponyo literally Ponyo on the Cliff) initially titled in English as Ponyo on the Cliff by the Sea is a 2008 Japanese animated fantasy film written and directed by Hayao Miyazaki of Studio Ghibli. It is Miyazaki's eighth film for Ghibli and his tenth overall.,2,12,0.9949590348326359,0.0080165475800137,13,-0.26270667,0.007163377,-0.022845047
Dickinson High School is a public high school located in Dickinson North Dakota. It currently serves about 890 students and is a part of the Dickinson Public Schools system.,1,1,0.9999043828309048,-8.84314373061e-05,12,0.7958031,0.15493011,-0.3165385
Michael Harold Rayner was acting Auditor General of Canada from 1980 to 1981. He grew up in numerous places including Ottawa Halifax Nova Scotia and Victoria British Columbia with two brothers and three sisters. His Father was Vice-Admiral Herbert Rayner a hero of World War II in command of the HMCS Huron earned the Distinguished Service Cross. Rayner became a chartered accountant in 1969 graduating from Carleton University with a degree in political science.,1,4,0.9847014676049424,0.0248277744498538,0,0.15966226,0.1602415,-0.019979043
Whitmer High School is a public high school in Toledo Ohio USA named for John Wallace Whitmer an educator who helped organize high school classes for the area. It is the only high school in the Washington Local School District in Lucas County Ohio serving the northwest section of Toledo up to the Michigan state line. It is the largest high school in the Toledo area.,1,1,0.9999026272852192,-8.55542563775e-05,12,0.26542178,0.22434759,-0.30193344
The Goose River is a river in Waldo County Maine.From the outflow of Swan Lake (44\u00b031\u203217\u2033N 68\u00b059\u203250\u2033W) in Swanville the river runs 9.3 miles (15.0 km) south to the city of Belfast and its mouth at Belfast Bay an arm of Penobscot Bay.,0,7,0.9063463207418152,0.1532447880648692,7,-0.034055497,0.22269364,-0.18057713
Thrush Aircraft is a U.S. aircraft manufacturer based in Albany Georgia. It currently manufactures the Thrush series of agricultural aircraft.,0,0,0.9997505554722221,0.0001636777195924,4,0.16924375,-0.618557,0.4160291
Con Solo Pensarlo is a 1998 album by the Belgian singer Axelle Red. The albums contains Spanish versions of French songs that appeared on Axelle Red's two previous albums Sans Plus Attendre and \u00c0 T\u00e2tons.The songs from Con Solo Pensarlo that were released as single are A Tientas Con Amor O No Dejame Ser Mujer and Sensualidad.,2,11,0.9996542725780608,0.0003214766929258,8,-0.0425946,0.23430997,-0.30370367
Ernst Wolfgang Kirchbach (born London England 18 September 1857; died Bad Nauheim 8 September 1906) was a German critic and writer.,2,2,0.9997514735823928,0.0001621730198882,8,0.6389424,0.40541786,-0.3442491
Kadhayile Nayika (Malayalam: \u0d15\u0d25\u0d2f\u0d3f\u0d32\u0d46 \u0d28\u0d3e\u0d2f\u0d3f\u0d15) is a Malayalam film directed by Dileep featuring Urvashi Roma Suraj Venjaramoodu and Kalabhavan Prajodh in the lead roles.,2,12,0.9226487137144684,0.1265266373863499,10,-0.32265273,-0.07110574,0.05330664
Shine On Harvest Moon is a 1938 American Western film directed by Joseph Kane and starring Roy Rogers and Mary Hart. Written by Jack Natteford the film is about a son and daughter in the opposing families of a feuding range war who surreptitiously become romantically involved. The supporting cast includes Scott Wiseman and William Farnum.,2,12,0.9913322602901876,0.0139605037136134,1,-0.87503195,0.07288775,-0.075461194
Salmaniyeh (Persian: \u0633\u0644\u0645\u0627\u0646\u064a\u0647\u200e also Romanized as Salm\u0101n\u012byeh) is a village in Darkhoveyn Rural District in the Central District of Shadegan County Khuzestan Province Iran. At the 2006 census its population was 387 in 72 families.,1,8,0.9996486552987568,0.0003306829067068,0,-0.12659305,0.06980398,0.070771515
Vladimir Grigoryevich Tretchikoff (\u0412\u043b\u0430\u0434\u0438\u043c\u0438\u0440 \u0413\u0440\u0438\u0433\u043e\u0440\u044c\u0435\u0432\u0438\u0447 \u0422\u0440\u00e9\u0442\u0447\u0438\u043a\u043e\u0432 26 December 1913\u2014Old Style 13 December\u2014in Petropavlovsk Russian Empire now Petropavl in Kazakhstan \u2013 26 August 2006 in Cape Town South Africa) was one of the most commercially successful artists of all time - his painting Chinese Girl (popularly known as The Green Lady) is one of the best selling art prints of the twentieth century.Tretchikoff was a self-taught artist who painted realistic figures portraits still life and animals with subjects often inspired by his early life in China Singapore and Indonesia and later life in South Africa.,2,2,0.9997357421859352,0.000187955358815,11,0.3915876,0.1861214,-0.17925063
Tom Barry (born 10 October 1968) is an Irish Fine Gael politician. He is a Teachta D\u00e1la (TD) for the Cork East constituency.,2,4,0.9759705171310408,0.0391370142479439,6,0.9366892,0.44199002,-0.30356163
Arnold Arre (born on September 2 1971 in Metro Manila Philippines) is a Filipino comic book writer and artist.,2,2,0.9997253389871398,0.0002050052626801,8,0.7469557,0.18539295,-0.46761855
Tokumbo Tumbo Abanikanda (pronounced: A-banna-conda) (born December 25 1986 in Atlanta Georgia) is a professional American and Canadian football linebacker who is currently a free agent. He was signed by the Edmonton Eskimos as a street free agent in 2009. He played college football for the Southern Miss Golden Eagles.,3,3,0.9995951456150672,0.0004183804486551,3,0.14106977,-0.18593097,-0.14001386
Predictably Irrational: The Hidden Forces That Shape Our Decisions is a 2008 book by Dan Ariely in which he challenges readers' assumptions about making decisions based on rational thought. Ariely explains My goal by the end of this book is to help you fundamentally rethink what makes you and the people around you tick. I hope to lead you there by presenting a wide range of scientific experiments findings and anecdotes that are in many cases quite amusing.,2,13,0.9987162502578724,0.0018588106127160001,6,-0.33109012,0.39486808,-0.52954376
Le Bapt\u00eame is the first studio album by French rock musician -M-. It was recorded in 1997 and issued in 1998. The alter ego of Matthieu Chedid the character -M- had come to prominence as a supporting act opening for the then chart-topping French folk rock band Louise Attaque.,2,11,0.9996717792124618,0.0002927848992374,8,0.09338119,0.18104647,-0.23096055
Christ Church in Rochester New York is a parish in the Episcopal Diocese of Rochester. It is located at 141 East Avenue.The church was listed on the National Register of Historic Places in 2008.The church is a large Gothic Revival style building made of rock-faced red Albion sandstone. It sports buttresses and flying buttresses.,1,6,0.9981017621384316,0.0028659011786789,2,0.0949805,0.18213288,-0.07678643
Assam University (Bengali: \u0986\u09b8\u09be\u09ae \u09ac\u09bf\u09b6\u09cd\u09ac\u09ac\u09bf\u09a6\u09cd\u09af\u09be\u09b2\u09af\u09bc) is a teaching-cum-affiliating university. The university has sixteen schools which offer Social Sciences Humanities Languages Life Sciences Physical Sciences Environmental Sciences Information Sciences Technology and Management Studies. There are 35 departments under these sixteen schools. The five districts under the jurisdiction of Assam University have 56 undergraduate colleges.,1,1,0.9999049190996956,-8.93103334523e-05,2,-0.005301232,0.076658495,-0.008250916
Matteuccia struthiopteris (common names ostrich fern or shuttlecock fern) is a crown-forming colony-forming fern occurring in temperate regions of the Northern Hemisphere in eastern and northern Europe northern Asia and northern North America. The species epithet struthiopteris comes from Ancient Greek words struthio meaning ostrich and pterion meaning wing.It grows from a completely vertical crown favoring riverbanks and sandbars but sends out lateral stolons to form new crowns.,0,10,0.9678744116957656,0.0524058003268784,13,-0.21767509,0.10080958,0.5026028
\u00c9mile B\u00e9jot was a French sports shooter. He competed in the trap event at the 1908 Summer Olympics.,3,3,0.9996704660670224,0.0002949370260921,7,-0.043317173,0.15357326,0.109295994
Perhaps Transparent is a Jersey City New Jersey based independent record label founded by Gabriel Walsh and Stephen Connolly. The label releases psychedelic and psych folk music.,0,0,0.9997196482257408,0.0002143319069825,11,0.60755724,-0.48310456,0.14227296
The Utter-Gerig Round Barn near Akron Indiana United States is a round barn that was built in 1915. It was listed on the National Register of Historic Places in 1990.,0,6,0.9591517731227176,0.0667014176696758,11,-0.105149366,-0.93745756,0.53447515
Greatest Hits 1982\u20131989 is the third greatest hits album and twentieth album overall by the American band Chicago released by Full Moon/Reprise Records on November 21 1989. Covering the era that stretched from 1982's Chicago 16 to Chicago 19 in 1988 the set is also balanced by the appearances of both Peter Cetera and his replacement Jason Scheff.An equivalent collection entitled The Heart of...,2,11,0.9986500854025148,0.0019672488388115,10,-0.17511125,-0.3108112,0.28854552
Hua Wilfried Serge Koffi (born 12 October 1987) is an Ivorian athlete specializing in sprinting events. He won the bronze medal in 100 metres at the 2013 Summer Universiade.,3,3,0.9996808711319988,0.0002778840637249,7,-0.009525341,0.14505166,-0.080320306
Episcopal School of Acadiana (ESA) is a coeducational day school of the Episcopal Diocese of Western Louisiana for students in grades PreK-3 through 12. The Lower School serving students in PreK-3 through fifth grades is located in Lafayette Louisiana. The Middle and Upper School campus for students in sixth through twelfth grades is located in Cade Louisiana between Lafayette and New Iberia. ESA draws students from throughout the Greater Lafayette area.,1,1,0.999904278601556,-8.82606148108e-05,13,-0.03154891,0.079368934,-0.010507403
The Wallabee Champ is a compilation album by American rapper and Wu-Tang Clan member Ghostface Killah. The album is a collection of b-sides and remixes.,2,11,0.9996502849791892,0.0003280120075681,11,0.043522716,0.012734265,-0.06827582
Narrabundah College is a government college that teaches the last two years of secondary education in the Australian Capital Territory. It was the first school in Australia to offer the International Baccalaureate starting the programme in February 1978.Despite attempts to close the college in the late 1970s due to falling enrolments the school now has a full enrolment and an extensive waiting list.,1,1,0.9999030297275882,-8.62138230971e-05,12,0.040774595,0.124652006,0.043374967
Love to Love (Dutch: Liever verliefd) is a 2003 Dutch film directed by Pim van Hoeve.The film was awarded a Golden Film (100000 tickets sold) in 2003.,2,12,0.9921498657003542,0.0126205222408905,10,-0.060217727,-0.04421241,0.6987392
The Sachs-Webster House or Farmstead is an historic site and structure located in Laveen Arizona. On the farmstead is a turn-of-the-20th-Century Sears Catalog Home built by the original settlers of the community of Laveen.,1,6,0.9798316165312724,0.0328090208218758,10,-0.17295723,0.008758379,0.69605905
The Clown class gunboat was a class of twelve gunboats ordered by the Royal Navy in January 1856 for use in the Crimean War although by the time they were completed later that year the Crimean War was over and some of these gunboats were sent to the Far East and took part in the Second Opium War.,0,5,0.9990687968721929,0.0012810185316137,0,1.0897454,-0.018256895,0.08729802
Zaj Kan-e Sofla (Persian: \u0632\u0627\u062c\u0643\u0627\u0646 \u0633\u0641\u0644\u064a\u200e also Romanized as Z\u0101j K\u0101n-e Sofl\u00e1 Z\u0101chg\u0101n-e Sofl\u00e1 Z\u0101chk\u0101n-e Sofl\u00e1 Zadzhkan-Sufla and Z\u0101jk\u0101n Sufla; also known as Z\u0101j K\u0101n-e P\u0101\u2019\u012bn) is a village in Kuhgir Rural District Tarom Sofla District Qazvin County Qazvin Province Iran. At the 2006 census its population was 92 in 22 families.,1,8,0.999655412367356,0.0003196086811449,0,-0.022387538,0.16958432,-0.073192544
Jerome David Salinger (/\u02c8s\u00e6l\u026and\u0292\u0259r/; January 1 1919 \u2013 January 27 2010) was an American writer who won acclaim early in life. He led a very private life for more than a half-century. He published his final original work in 1965 and gave his last interview in 1980.Salinger was raised in Manhattan and began writing short stories while in secondary school. Several were published in Story magazine in the early 1940s before he began serving in World War II.,2,2,0.9997309815833566,0.00019575755676400005,11,0.27468866,0.027095903,-0.057743054
SMS Leipzig was a flush-deck corvette the lead ship of her class built by the German Imperial Navy; she had one sister ship SMS Prinz Adalbert. She was named after the Battle of Leipzig in 1813 rather than after the city of Leipzig.She was laid down in 1874 launched in 1875 and completed in 1877. She was converted into a 'cruiser frigate' (German: kreuzerfregatte) in 1884. She served abroad until 1893 and frequently became involved in German colonialism and gunboat diplomacy.,0,5,0.9977637945422037,0.0034197995649847,7,0.0111751305,-0.04546526,0.110208765
Catharine Parr Traill born Strickland (9 January 1802 \u2013 29 August 1899) was an English-Canadian author and naturalist who wrote about life as a settler in Canada.,2,2,0.9997485975892836,0.000166886513016,6,0.3169366,0.1976512,0.25516587
USS Tingey (TB-34) was a Blakely-class torpedo boat of the United States Navy. She was the first of three ships to be named for named after Commodore Thomas Tingey.The first Tingey (Torpedo Boat No. 34) was laid down on 29 March 1899 at Baltimore Maryland by the Columbian Iron Works launched on 25 March 1901 sponsored by Miss Anna T. Craven the great-great-granddaughter of Commodore Tingey and commissioned at Norfolk Virginia on 7 January 1904 Lt. John Francis Marshall in command.,0,5,0.9964514602512892,0.0055705970205519985,7,0.14563176,-0.058715407,0.12222266
Div\u010di\u0107i is a village in the municipality of Trnovo Bosnia and Herzegovina.,1,8,0.9986892230322648,0.0019031057960928,2,0.11772442,0.18452679,0.062035307
ABC is a Spanish national daily newspaper founded in Madrid on January 1 1903 by Torcuato Luca de Tena y \u00c1lvarez-Ossorio. ABC started as a weekly newspaper turning daily in June 1905. Today ABC is the third largest general-interest newspaper in Spain and the oldest newspaper still operating in Madrid.,0,13,0.9615181320440794,0.0628231689778144,11,0.0427359,0.092182964,0.118016556
Grecian Shelter also known as Croquet Shelter is a peristyle with Corinthian columns near the southern edge of Prospect Park in Brooklyn New York. It was built in 1905 and was refurbished in 1966. It was listed on the National Register of Historic Places in 1972.,1,6,0.9927318397734828,0.0116667192622159,2,0.10499392,-0.0020790007,-0.007650709
Anabarilius maculatus is a species of ray-finned fish in the genus Alburnus that can be found in Nan Pan Jiang basin in south-eastern China. The species have not been studied well therefore its ranked as Data Deficient.,0,9,0.9580512768211508,0.0685050317805453,6,-0.07649799,0.35663494,-0.3080455
